selection method,Lasso regression,Random Forest,Ridge regression,SVM,polynomial regression
Chi-Square_2,18532987159.866276,104646659994.64952,18533059146.15199,134863081617.7955,18532987142.95499
Correlation_2,21717119661.03258,21535665225.12239,28749034224.116848,126213012549.41719,60561659889.411095
Gini Index_2,45600590071.082886,55496353313.689445,45617453131.623665,132897943572.57657,545860117770.5023
Mutual Information_2,6086578979.830775,299625543151.58453,26831700.20769016,121026483371.43617,27358682505.980816
Relief_2,21605033517.43111,18332816085.61302,28749034224.116848,126213012549.41719,60561659889.411095
T-Scores_2,21717119661.03258,21535665225.12239,28749034224.116848,126213012549.41719,60561659889.411095
Variance_2,45600590071.082886,199648523474.61157,45609392386.67397,134863092595.39613,636629747999.8264
linear_regression_n16_k2_ngen30,7518132178.950786,126247128993.79854,39120413.04705819,120391851053.45506,41426393116.04495
linear_regression_n4_k2_ngen30,45600590071.082886,182346473258.61157,45606711626.49209,134863317267.03514,391777067030.7219
linear_regression_n8_k2_ngen30,45600590071.082886,344690425775.6963,45608755505.20959,134863250971.69193,577141909341.2954
random_forest_n16_k2_ngen30,45600590071.082886,446673984667.0929,45605847490.29223,134863088559.92606,210151537403.958
random_forest_n4_k2_ngen30,45600590071.082886,475309353923.849,45607299989.7681,134863454879.1654,441007598355.42194
random_forest_n8_k2_ngen30,206813793.53823975,355558353329.37976,34450.27779295445,125004469899.68097,2453555165.6768103
selected_features_by_lasso_2,45600590071.082886,41025963718.76887,45601781673.688,134742824495.31375,128264797218.3671
selected_features_by_rf_2,620508.5624713248,337483353.31840754,861782442.9463878,123116964579.02792,861738746.9752375
selected_features_by_xgb_2,45600590071.082886,602358125448.6754,45611460929.85257,134863353161.73514,562739007374.3378
svr_n16_k2_ngen30,45600590071.082886,4834493211.470403,45602161284.54885,133940203919.22308,95756012824.32469
svr_n4_k2_ngen30,10026119127.387707,93212284869.19698,135076959.77530602,118308567305.9977,85920961874.9868
svr_n8_k2_ngen30,10104453484.55305,38240459550.822464,14409153402.43543,131896350175.00684,14409095617.375217
