Release_quarter,net_sales,cost_of_sales,gross_profit,cash_and_temporary_investment,trade_accounts_receivables,other_receivables,inventories,other_current_assets,fixed_assets,other_assets,total_liabilities,consolidated_stockholder_equity,profit_margin,average_price_per_ton,number_of_unit_sold,unit_cost,unit_profit
1997_Q1,786855,484086,302769,330890,440066,155802,442072,87015,5935493,2607755,5522912,4476181,0.3847837,73.49,10706966.934276775,45.212243856873236,28.27775614312676
1997_Q2,945012,579068,365944,394216,472836,159227,436178,146332,5915551,2633300,5613091,4544549,0.3872374,73.49,12859055.653830454,45.03192268457967,28.458077315420326
1997_Q3,1002488,617718,384770,402586,473050,198660,451955,91265,6012035,2590020,5497985,3527832,0.3838151,73.49,13641148.455572188,45.28343064455634,28.206569355443655
1997_Q4,985469,592283,393186,380339,455431,193677,427458,79573,6005807,2689156,5535174,4696267,0.3989836,73.49,13409565.927337052,44.168692947215995,29.321307052784
1998_Q1,992884,575571,417313,422421,491710,158214,464794,52782,5914602,2684272,5494866,4693928,0.4203039,76.46,12985665.70755951,44.32356514960458,32.13643485039541
1998_Q2,1055547,608058,447489,324359,525472,119362,425480,102868,5938759,2667179,5210681,4892798,0.4239404,76.46,13805218.414857443,44.04551827630603,32.41448172369397
1998_Q3,1058894,614341,444553,420728,537187,119922,404778,86169,5883231,2547572,5364072,4635515,0.4198277,76.46,13848992.937483652,44.359976409347865,32.10002359065213
1998_Q4,1096547,632583,463964,406814,504298,194643,441228,96641,6141886,2674150,5321433,5138227,0.4231136,76.46,14341446.50797803,44.1087305696883,32.351269430311696
1999_Q1,1119406,638148,481258,376252,539559,113068,467958,61036,6129059,3268207,5589653,5431732,0.4299227,78.27,14301852.561645586,44.619953761191205,33.65004623880879
1999_Q2,1198265,608058,590207,366762,562704,184781,435169,73869,6536583,2993896,5597476,5556290,0.4925513,78.27,15309377.794812828,39.71800867086996,38.55199132913003
1999_Q3,1239262,679769,559493,342480,582690,194492,434088,73820,6523748,3012791,5478576,5685532,0.4514727,78.27,15833167.241599593,42.93322931712583,35.33677068287417
1999_Q4,1236860,702686,534174,326393,530452,225125,555670,70701,6921689,3234254,5429647,6434638,0.4318791,78.27,15802478.599718923,44.46682180683343,33.803178193166566
2000_Q1,1325090,741560,583530,346570,614293,175972,563015,76802,6936460,3378877,5769487,6322501,0.4403701,78.56,16867235.234215885,43.9645258812609,34.595474118739105
2000_Q2,1360468,743808,616660,335139,639933,195196,554284,80905,6647516,3330577,5691483,6092068,0.4532705,78.56,17317566.19144603,42.95107013174878,35.608929868251224
2000_Q3,1393959,761537,632422,406019,639501,224837,525539,95515,6587978,3449507,6037800,5891095,0.4536877,78.56,17743877.29124236,42.91829725264517,35.641702747354834
2000_Q4,1510936,877421,633515,308079,655420,223768,717020,100541,9034112,4720420,8110633,7648727,0.4192865,78.56,19232892.057026476,45.620856052142514,32.93914394785749
2001_Q1,1581438,887373,694065,290682,681544,326747,741213,123859,8749922,4909939,8166656,7657250,0.4388822,76.5,20672392.156862743,42.92551114871402,33.57448885128598
2001_Q2,1815612,1020839,794773,574107,805410,319050,724286,161987,9094698,4856618,8602861,7933294,0.4377439,76.5,23733490.19607843,43.01259492666935,33.48740507333065
2001_Q3,1757973,989775,768198,576865,593963,296644,701685,138135,9128913,4710774,8479921,7667057,0.4369794,76.5,22980039.215686277,43.07107532368244,33.42892467631756
2001_Q4,1676092,944460,731632,428390,612108,465325,682794,130700,8940372,4970489,8078133,8152045,0.4365106,76.5,21909699.346405227,43.10693565746988,33.39306434253012
2002_Q1,1571060,865534,705526,407416,659247,468466,698369,151300,8943863,5299899,8250400,8378159,0.4490764,76.0,20671842.105263155,41.87019209960155,34.12980790039845
